rmse,mae,r2,diff_log_rmse,diff_log_mae,diff_log_r2
570.6950018853287,318.18706893020635,0.9952443651341834,0.0667706995214946,0.0535431325889731,-0.0619273524099708
305.13437694502653,176.85088045011162,0.9986404892631772,0.0652213236718214,0.0515287489153052,-0.0132163100504092
2668.544650447701,1433.6586232603397,0.8960201199543496,0.0718586863662169,0.0553022674006647,-0.2299331365861265
2473.9491869770604,1324.2971088509564,0.9106320254861484,0.0714929436777316,0.0548483134590016,-0.2174448963815367
2202.9412602796388,1184.045038106124,0.9291391759176136,0.0702642584148962,0.053575605281435,-0.1759582110775144
1830.5650000896508,992.6884930977508,0.9510705117692564,0.0693875482631866,0.0529185627940488,-0.1467956575520437
3493.9755596500518,1884.726264836471,0.8217456692964701,0.0759591309128317,0.0589873146164967,-0.3743043753784587
299.50862764226395,180.64111955138256,0.998690157617662,0.0677746058948346,0.0535555974103118,-0.0940998454197967
552.5080383038147,306.743056760333,0.9955426414922728,0.0677126113557636,0.0539830198344692,-0.0920991788594833
1960.2932692343788,1057.5369396801505,0.9438897166521956,0.0693853049128715,0.0532365088704419,-0.1467215052617252
1635.8114971454913,885.9374593523828,0.9440614872583328,0.06958271129916486,0.05414790711711479,-0.15525004689770655
